FIELD_TYPE_ID,FIELD_TYPE_DESC,USED_FLAG,del_ind,FIELD_NAME
AUTH_0048,APPLICATION_MONITOR,0,0,auth_obj_id
AUTH_0049,SHOP_ASSIST,0,0,auth_obj_id
AUTH_0050,SOM,0,0,auth_obj_id
AUTH_0051,SUB_SOM,0,0,auth_obj_id
AUTH_0052,RFQ,0,0,auth_obj_id
AUTH_0053,SOURCING,0,0,auth_obj_id
AUTH_0054,SC_GROUPING,0,0,auth_obj_id
MSG100,Error,0,0,messages_id
MSG179,Success,0,0,messages_id
9,Payment Terms,1,0,split_type
AUTH_0010,Admin Tool,0,0,auth_obj_id
JMSG053,Success,0,0,messages_id
MSG132,Success,0,0,messages_id
AUTH_0018,My Order,0,0,auth_obj_id
JMSG048,Error,0,0,messages_id
MSG091,Error,0,0,messages_id
AUTH_0003,Shopping Plus,0,0,auth_obj_id
MSG189,Error,0,0,messages_id
MSG053,Error,0,0,messages_id
MSG104,Error,0,0,messages_id
MSG106,Error,0,0,messages_id
JMSG040,Error,0,0,messages_id
AUTH_0016,Requisition,0,0,auth_obj_id
JMSG029,Error,0,0,messages_id
MSG119,Error,0,0,messages_id
MSG020,Error,0,0,messages_id
AUTH_GROUP_05,Purchaser,0,0,auth_obj_grp
AUTH_0011,Org Model,0,0,auth_obj_id
MSG002,Success,0,0,messages_id
10,Product Type,1,0,split_type
JMSG036,Error,0,0,messages_id
MSG018,Success,0,0,messages_id
FIN,Financial Approver,0,0,approval_type
MSG116,Error,0,0,messages_id
MSG084,Error,0,0,messages_id
MSG129,Error,0,0,messages_id
MSG152,Error,0,0,messages_id
JMSG052,Error,0,0,messages_id
JMSG014,Success,0,0,messages_id
SHOP,Shop Users,1,0,roles
SHOP_ASSIST,Shopper Assist,1,0,roles
SHOP_MANAGER,MANAGER,1,0,roles
SHOP_PLUS,Shopper Plus,1,0,roles
SHOP_PURCHASER,Purchaser,1,0,roles
SHOP_SUPPLIER,Supplier,1,0,roles
SHOP_ADMIN,Admin,1,0,roles
SHOP_DATA_MANAGER,Shop Data Manager,1,0,roles
SHOP,AUTH_GROUP_01,1,0,authorization
SHOP_PURCHASER,AUTH_GROUP_05,1,0,authorization
SHOP_DATA_MANAGER,AUTH_GROUP_07,0,0,authorization
SHOP_ADMIN,AUTH_GROUP_06,1,0,authorization
SHOP_ASSIST,AUTH_GROUP_04,1,0,authorization
SHOP_MANAGER,AUTH_GROUP_03,1,0,authorization
SHOP_PLUS,AUTH_GROUP_02,1,0,authorization
SHOP_SUPPLIER,AUTH_GROUP_08,1,0,authorization
MSG127,Success,0,0,messages_id
MSG061,Error,0,0,messages_id
USER,User,1,0,org_node_types
